City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chermoz,RU,2021-01-12 22:27:07,58.787,56.1489,-8.07,87,96,6.62
68,Vaini,TO,2021-01-12 22:27:08,-21.2,-175.2,84.2,84,75,9.22
69,Cayenne,GF,2021-01-12 22:27:08,4.9333,-52.3333,77.0,94,90,4.61
70,Saldanha,ZA,2021-01-12 22:27:08,-33.0117,17.9442,75.2,64,0,3.44
71,Artemisa,CU,2021-01-12 22:27:08,22.814,-82.7561,75.2,78,75,12.66
72,Thompson,CA,2021-01-12 22:26:32,55.7435,-97.8558,24.8,100,75,4.61
73,Hasaki,JP,2021-01-12 22:24:16,35.7333,140.8333,26.6,100,20,2.3
74,Jiexiu,CN,2021-01-12 22:27:08,37.0244,111.9125,31.91,65,0,8.66
75,Aklavik,CA,2021-01-12 22:27:08,68.2191,-135.0107,3.2,92,100,2.3
76,New Norfolk,AU,2021-01-12 22:27:09,-42.7826,147.0587,66.0,57,13,1.99
77,Mataura,NZ,2021-01-12 22:27:09,-46.1927,168.8643,71.13,52,90,1.99
78,Tabas,IR,2021-01-12 22:27:09,33.5959,56.9244,32.0,27,0,4.61
79,Kavieng,PG,2021-01-12 22:27:09,-2.5744,150.7967,83.66,74,66,15.35
80,Kloulklubed,PW,2021-01-12 22:27:09,7.0419,134.2556,75.2,100,75,6.82
81,Dongsheng,CN,2021-01-12 22:27:09,39.8161,109.9776,17.37,71,0,16.11
82,Hovd,MN,2021-01-12 22:27:10,48.0056,91.6419,13.39,81,94,3.4
83,Concepcion Del Uruguay,AR,2021-01-12 22:27:10,-32.4825,-58.2372,80.01,49,6,4.0
84,Buchanan,LR,2021-01-12 22:27:10,5.8808,-10.0467,77.0,94,75,9.31
85,Sinnamary,GF,2021-01-12 22:27:10,5.3833,-52.95,76.93,87,77,11.65
86,Ancud,CL,2021-01-12 22:27:10,-41.8697,-73.8203,60.01,67,90,9.22
87,Bangsund,NO,2021-01-12 22:27:10,64.3968,11.3949,27.0,75,98,11.01
88,Los Llanos De Aridane,ES,2021-01-12 22:25:12,28.6585,-17.9182,60.8,72,90,6.91
89,Luderitz,NA,2021-01-12 22:27:10,-26.6481,15.1594,68.29,74,7,20.67
90,Leshukonskoye,RU,2021-01-12 22:24:55,64.8989,45.7622,-13.83,86,31,2.73
91,Chuy,UY,2021-01-12 22:27:11,-33.6971,-53.4616,65.17,61,100,11.68
92,Kosino,RU,2021-01-12 22:27:11,58.4127,51.2782,-13.77,89,51,4.68
93,Pevek,RU,2021-01-12 22:27:11,69.7008,170.3133,-29.58,86,100,0.67
94,Turukhansk,RU,2021-01-12 22:25:36,65.8167,87.9833,-9.44,90,100,12.26
95,Hualmay,PE,2021-01-12 22:27:11,-11.0964,-77.6139,73.09,76,82,9.15
96,Clyde River,CA,2021-01-12 22:27:11,70.4692,-68.5914,-4.0,92,90,3.44
97,Cape Town,ZA,2021-01-12 22:26:34,-33.9258,18.4232,73.0,73,0,10.36
98,Kulhudhuffushi,MV,2021-01-12 22:27:12,6.6221,73.07,77.74,85,100,14.7
99,Saint-Philippe,RE,2021-01-12 22:27:12,-21.3585,55.7679,77.0,94,75,4.61
100,Pljevlja,ME,2021-01-12 22:27:12,43.3333,19.3333,23.0,100,90,1.14
101,Saskylakh,RU,2021-01-12 22:27:12,71.9167,114.0833,-28.77,83,88,5.14
102,Bagdarin,RU,2021-01-12 22:27:12,54.4333,113.6,-17.72,82,96,3.78
103,Butaritari,KI,2021-01-12 22:27:12,3.0707,172.7902,81.64,79,99,19.75
104,Hobart,AU,2021-01-12 22:27:07,-42.8794,147.3294,66.0,63,20,5.75
105,Jacareacanga,BR,2021-01-12 22:27:13,-6.2222,-57.7528,78.06,89,83,2.21
106,Batagay-Alyta,RU,2021-01-12 22:27:13,67.8006,130.4114,-40.59,72,0,0.81
107,Chokurdakh,RU,2021-01-12 22:27:13,70.6333,147.9167,-37.79,83,54,1.9
108,Redlands,US,2021-01-12 22:23:02,34.0556,-117.1825,73.0,12,75,2.66
109,Ponta Do Sol,PT,2021-01-12 22:27:13,32.6667,-17.1,59.0,63,40,6.91
110,Sao Geraldo Do Araguaia,BR,2021-01-12 22:27:13,-6.4006,-48.555,76.82,88,35,0.38
111,Labuhan,ID,2021-01-12 22:27:13,-6.8844,112.2051,78.67,84,100,11.23
112,Jamsa,FI,2021-01-12 22:27:14,61.8642,25.19,19.4,86,90,12.66
113,Tyukalinsk,RU,2021-01-12 22:27:14,55.8732,72.1967,-21.62,85,29,8.7
114,Udachnyy,RU,2021-01-12 22:27:14,66.4167,112.4,-22.45,84,100,4.63
115,Luba,GQ,2021-01-12 22:27:14,3.4568,8.5547,80.6,94,20,9.22
116,East London,ZA,2021-01-12 22:22:48,-33.0153,27.9116,73.62,88,99,10.78
117,Khatanga,RU,2021-01-12 22:27:14,71.9667,102.5,-21.59,87,100,1.97
118,Vila Franca Do Campo,PT,2021-01-12 22:27:14,37.7167,-25.4333,59.0,100,75,19.57
119,Malaya Purga,RU,2021-01-12 22:27:15,56.5567,53.0043,-8.0,84,93,1.01
120,Kudahuvadhoo,MV,2021-01-12 22:27:15,2.6708,72.8944,81.72,78,100,16.51
121,Bluff,NZ,2021-01-12 22:27:15,-46.6,168.3333,61.21,74,100,2.95
122,Upernavik,GL,2021-01-12 22:27:15,72.7868,-56.1549,15.28,95,100,9.04
123,Snasa,NO,2021-01-12 22:27:15,64.2457,12.3778,12.6,86,12,13.73
124,Itoigawa,JP,2021-01-12 22:27:15,37.0333,137.85,30.0,89,67,14.88
125,Tambura,SS,2021-01-12 22:27:16,5.6,27.4667,71.28,29,2,1.83
126,Sayhat,SA,2021-01-12 22:27:16,26.4852,50.0405,48.2,61,0,8.05
127,Sochi,RU,2021-01-12 22:26:45,43.6,39.7303,60.01,82,20,4.47
128,Mae Chan,TH,2021-01-12 22:27:16,20.1467,99.8526,53.6,76,90,3.44
129,Namatanai,PG,2021-01-12 22:27:16,-3.6667,152.4333,83.03,71,54,10.98
130,Sao Gabriel Da Cachoeira,BR,2021-01-12 22:25:14,-0.1303,-67.0892,81.09,81,89,0.18
131,Barra Patuca,HN,2021-01-12 22:27:16,15.8,-84.2833,78.03,84,16,10.8
132,Vanavara,RU,2021-01-12 22:24:15,60.34,102.2797,-31.27,84,100,3.87
133,Solnechnogorsk,RU,2021-01-12 22:22:17,56.1833,36.9833,8.6,85,90,11.18
134,Miandrivazo,MG,2021-01-12 22:27:17,-19.5167,45.4667,80.33,81,88,1.68
135,Kapaa,US,2021-01-12 22:27:17,22.0752,-159.319,79.0,73,40,6.91
136,Denpasar,ID,2021-01-12 22:27:17,-8.65,115.2167,78.8,94,75,4.61
137,Stabat,ID,2021-01-12 22:27:17,3.761,98.4513,75.2,100,40,4.61
138,Walvis Bay,NA,2021-01-12 22:24:08,-22.9575,14.5053,70.0,83,100,3.44
139,Ushtobe,KZ,2021-01-12 22:27:18,45.2514,77.9838,26.78,98,100,14.34
140,Hithadhoo,MV,2021-01-12 22:27:18,-0.6,73.0833,81.1,81,92,19.46
141,Geraldton,AU,2021-01-12 22:27:18,-28.7667,114.6,64.4,82,0,5.75
142,Maragogi,BR,2021-01-12 22:27:18,-9.0122,-35.2225,78.53,78,48,10.45
143,Makaha,US,2021-01-12 22:27:18,21.4694,-158.2175,82.0,65,1,6.06
144,Port Shepstone,ZA,2021-01-12 22:27:18,-30.7414,30.455,74.26,84,77,3.76
145,Baykit,RU,2021-01-12 22:27:18,61.67,96.37,-28.19,80,88,2.19
146,Egvekinot,RU,2021-01-12 22:27:18,66.3167,-179.1667,-11.72,90,100,12.71
147,Itapetinga,BR,2021-01-12 22:27:19,-15.2489,-40.2478,73.98,85,35,8.23
148,Kangaba,ML,2021-01-12 22:27:19,11.9333,-8.4167,76.08,18,85,5.03
149,Parrita,CR,2021-01-12 22:27:19,9.5201,-84.3225,77.0,68,75,16.11
150,Port Elizabeth,ZA,2021-01-12 22:27:19,-33.918,25.5701,69.8,88,90,10.36
151,Riyadh,SA,2021-01-12 22:22:27,24.6877,46.7219,48.2,43,0,2.3
152,Cam Ranh,VN,2021-01-12 22:22:28,11.9214,109.1591,69.8,73,40,14.97
153,Awjilah,LY,2021-01-12 22:27:19,29.1081,21.2869,59.27,68,100,16.13
154,Khanpur,PK,2021-01-12 22:27:20,28.6453,70.6567,51.55,31,0,5.41
155,Worland,US,2021-01-12 22:27:20,44.0169,-107.9554,44.6,39,1,4.61
156,Touros,BR,2021-01-12 22:27:20,-5.1989,-35.4608,77.0,94,40,6.91
157,Shar,KZ,2021-01-12 22:27:20,49.5886,81.0453,19.0,93,100,12.77
158,Bambous Virieux,MU,2021-01-12 22:27:20,-20.3428,57.7575,78.8,89,75,11.5
159,Verkhnyaya Inta,RU,2021-01-12 22:25:07,65.9811,60.3094,-12.01,90,2,3.38
160,Carnarvon,AU,2021-01-12 22:27:20,-24.8667,113.6333,73.4,88,40,17.27
161,Hobyo,SO,2021-01-12 22:27:20,5.3505,48.5268,76.1,76,1,20.45
162,Alofi,NU,2021-01-12 22:27:21,-19.0595,-169.9187,86.0,74,40,12.66
163,Esperance,AU,2021-01-12 22:27:21,-33.8667,121.9,62.6,82,90,11.5
164,Wajima,JP,2021-01-12 22:27:21,37.4,136.9,44.87,61,98,24.94
165,Puertollano,ES,2021-01-12 22:25:36,38.6871,-4.1073,30.99,93,0,0.74
166,Mount Gambier,AU,2021-01-12 22:27:21,-37.8333,140.7667,55.4,82,100,4.83
167,Torbay,CA,2021-01-12 22:27:21,47.6666,-52.7314,30.0,86,75,6.91
168,Jining,CN,2021-01-12 22:27:21,35.405,116.5814,31.87,87,0,3.42
169,Carauari,BR,2021-01-12 22:27:22,-4.8828,-66.8958,82.13,81,78,2.13
170,Wuwei,CN,2021-01-12 22:27:22,37.9281,102.6414,28.0,43,0,2.06
171,Rizhao,CN,2021-01-12 22:27:22,35.4275,119.4553,32.58,92,0,12.66
172,Necochea,AR,2021-01-12 22:27:22,-38.5473,-58.7368,71.01,44,0,4.0
173,Austin,US,2021-01-12 22:23:16,30.2672,-97.7431,50.0,43,1,3.44
174,Kahului,US,2021-01-12 22:23:49,20.8947,-156.47,84.2,48,20,4.61
175,Guarapari,BR,2021-01-12 22:27:23,-20.6667,-40.4975,79.0,73,20,11.5
176,Moranbah,AU,2021-01-12 22:27:23,-22.0016,148.0466,74.86,79,95,18.54
177,Maceio,BR,2021-01-12 22:23:01,-9.6658,-35.7353,77.0,88,20,8.05
178,Tasiilaq,GL,2021-01-12 22:27:23,65.6145,-37.6368,32.0,86,90,40.29
179,Suining,CN,2021-01-12 22:27:23,30.508,105.5733,38.12,72,0,4.56
180,Ambilobe,MG,2021-01-12 22:22:23,-13.2,49.05,74.64,92,26,0.27
181,Constitucion,CL,2021-01-12 22:27:23,-35.3333,-72.4167,65.41,43,0,16.44
182,Yenagoa,NG,2021-01-12 22:27:24,4.9247,6.2642,76.55,88,0,5.23
183,Sao Filipe,CV,2021-01-12 22:27:24,14.8961,-24.4956,70.92,73,5,16.22
184,Ketchikan,US,2021-01-12 22:24:57,55.3422,-131.6461,39.2,93,90,3.44
185,Codrington,AU,2021-01-12 22:27:24,-38.2667,141.9667,59.36,68,70,9.71
186,Birnin Kebbi,NG,2021-01-12 22:27:24,12.4539,4.1975,74.25,18,0,10.25
187,Whitehaven,GB,2021-01-12 22:27:24,54.549,-3.5841,33.01,82,100,2.93
188,Bubaque,GW,2021-01-12 22:27:24,11.2833,-15.8333,78.89,66,30,10.92
189,Avon Park,US,2021-01-12 22:27:24,27.5959,-81.5062,64.4,77,1,4.61
190,Manati,PR,2021-01-12 22:27:25,18.4275,-66.4921,78.01,83,75,3.0
191,Muzaffarabad,PK,2021-01-12 22:27:25,34.37,73.4711,43.95,47,0,8.1
192,Boyolangu,ID,2021-01-12 22:27:25,-8.1181,111.8935,76.15,87,99,3.06
193,Tautira,PF,2021-01-12 22:27:25,-17.7333,-149.15,84.2,65,75,5.75
194,Kisangani,CD,2021-01-12 22:27:25,0.5167,25.2,72.63,90,82,2.51
195,Ribeira Grande,PT,2021-01-12 22:27:25,38.5167,-28.7,60.8,94,40,12.66
196,Kruisfontein,ZA,2021-01-12 22:27:25,-34.0033,24.7314,71.01,86,100,3.0
197,Olafsvik,IS,2021-01-12 22:22:40,64.8945,-23.7142,35.29,81,100,20.56
198,Yulara,AU,2021-01-12 22:27:25,-25.2406,130.9889,84.2,21,0,3.44
199,Pangnirtung,CA,2021-01-12 22:22:39,66.1451,-65.7125,3.2,85,90,2.3
200,Cradock,ZA,2021-01-12 22:27:26,-32.1642,25.6192,72.36,75,70,5.03
201,Tual,ID,2021-01-12 22:27:26,-5.6667,132.75,84.24,74,99,8.93
202,Skegness,GB,2021-01-12 22:27:26,53.1436,0.3363,39.99,86,0,5.75
203,Karratha,AU,2021-01-12 22:27:26,-20.7377,116.8463,88.7,45,1,10.2
204,Itanhem,BR,2021-01-12 22:27:26,-17.1664,-40.33,75.47,79,24,10.85
205,Marawi,PH,2021-01-12 22:27:26,7.9986,124.2928,77.0,90,100,7.0
206,Sitka,US,2021-01-12 22:27:26,57.0531,-135.33,42.8,65,90,21.85
207,Bathsheba,BB,2021-01-12 22:27:27,13.2167,-59.5167,78.8,65,20,19.57
208,Gull Lake,CA,2021-01-12 22:27:27,50.1001,-108.4847,33.8,75,1,19.57
209,Kismayo,SO,2021-01-12 22:27:27,-0.3582,42.5454,77.49,79,0,16.98
210,Kargasok,RU,2021-01-12 22:25:09,59.0556,80.8572,-25.47,86,62,5.26
211,Nyurba,RU,2021-01-12 22:27:27,63.2842,118.3319,-38.16,81,100,4.14
212,Tadine,NC,2021-01-12 22:27:27,-21.55,167.8833,80.83,82,37,14.56
213,Bagnols-Sur-Ceze,FR,2021-01-12 22:27:27,44.1599,4.6178,42.01,75,0,6.91
214,Paraiso,CR,2021-01-12 22:27:27,9.8383,-83.8656,71.6,68,75,16.11
215,San Quintin,MX,2021-01-12 22:22:37,30.4833,-115.95,66.96,28,0,7.81
216,Provideniya,RU,2021-01-12 22:27:28,64.3833,-173.3,-4.0,71,0,11.18
217,Ipora,BR,2021-01-12 22:27:28,-16.4419,-51.1178,76.26,80,90,3.18
218,Margate,GB,2021-01-12 22:27:28,51.3813,1.3862,37.0,81,41,1.99
219,Obuasi,GH,2021-01-12 22:27:28,6.206,-1.6619,73.06,92,14,3.02
